card	artwork	edited artwork	atk	def	level	race	attribute	type	spell/trap type
Mountain Warrior	0	No	600	1000	3	Beast-Warrior	EARTH	None	None
Zombie Warrior	0	No	1200	900	3	Zombie	DARK	Fusion	None
Koumori Dragon	0	No	1500	1200	4	Dragon	DARK	None	None
Two-Headed King Rex	0	No	1600	1200	4	Dinosaur	EARTH	None	None
Judge Man	0	No	2200	1500	6	Warrior	EARTH	None	None
Saggi the Dark Clown	0	No	600	1500	3	Spellcaster	DARK	None	None
Dark Magician	0	No	2500	2100	7	Spellcaster	DARK	None	None
Dark Magician	1	No	2500	2100	7	Spellcaster	DARK	None	None
Dark Magician	2	No	2500	2100	7	Spellcaster	DARK	None	None
The Snake Hair	0	No	1500	1200	4	Zombie	DARK	None	None
Gaia the Dragon Champion	0	No	2600	2100	7	Dragon	WIND	Fusion	None
Gaia The Fierce Knight	0	No	2300	2100	7	Warrior	EARTH	None	None
Gaia The Fierce Knight	1	No	2300	2100	7	Warrior	EARTH	None	None
Curse of Dragon	0	No	2000	1500	5	Dragon	DARK	None	None
Celtic Guardian	0	No	1400	1200	4	Warrior	EARTH	None	None
Celtic Guardian	1	No	1400	1200	4	Warrior	EARTH	None	None
Illusionist Faceless Mage	0	No	1200	2200	5	Spellcaster	DARK	None	None
Karbonala Warrior	0	No	1500	1200	4	Warrior	EARTH	Fusion	None
Rogue Doll	0	No	1600	1000	4	Spellcaster	LIGHT	None	None
Oscillo Hero	0	No	1000	500	3	Thunder	LIGHT	None	None
Griffore	0	No	1200	1500	4	Beast	EARTH	None	None
Torike	0	No	1200	600	3	Beast	EARTH	None	None
Sangan	0	No	1000	600	3	Fiend	DARK	Effect	None
Big Insect	0	No	1200	1500	4	Insect	EARTH	None	None
Basic Insect	0	No	500	700	2	Insect	EARTH	None	None
Armored Lizard	0	No	1500	1200	4	Reptile	EARTH	None	None
Killer Needle	0	No	1200	1000	4	Insect	WIND	None	None
Gokibore	0	No	1200	1400	4	Insect	EARTH	None	None
Giant Flea	0	No	1500	1200	4	Insect	EARTH	None	None
Larvae Moth	0	No	500	400	2	Insect	EARTH	Effect	None
Great Moth	0	No	2600	2500	8	Insect	EARTH	Effect	None
Kuriboh	0	No	300	200	1	Fiend	DARK	Effect	None
Kuriboh	1	No	300	200	1	Fiend	DARK	Effect	None
Kuriboh	2	No	300	200	1	Fiend	DARK	Effect	None
Mammoth Graveyard	0	No	1200	800	3	Dinosaur	EARTH	None	None
Great White	0	No	1600	800	4	Fish	WATER	None	None
Wolf	0	No	1200	800	3	Beast	EARTH	None	None
Harpie Lady	0	Yes	1300	1400	4	Winged Beast	WIND	None	None
Harpie Lady Sisters	0	Yes	1950	2100	6	Winged Beast	WIND	Effect	None
Tiger Axe	0	No	1300	1100	4	Beast-Warrior	EARTH	None	None
Tiger Axe	1	No	1300	1100	4	Beast-Warrior	EARTH	None	None
Silver Fang	0	No	1200	800	3	Beast	EARTH	None	None
Kojikocy	0	No	1500	1200	4	Warrior	EARTH	None	None
Perfectly Ultimate Great Moth	0	No	3500	3000	8	Insect	EARTH	Effect	None
Thousand Dragon	0	No	2400	2000	7	Dragon	WIND	Fusion	None
Thousand Dragon	1	No	2400	2000	7	Dragon	WIND	Fusion	None
Fiend Kraken	0	No	1200	1400	4	Aqua	WATER	None	None
Jellyfish	0	No	1200	1500	4	Aqua	WATER	None	None
Cocoon of Evolution	0	No	0	2000	3	Insect	EARTH	Effect	None
Giant Soldier of Stone	0	No	1300	2000	3	Rock	EARTH	None	None
Man-Eating Plant	0	No	800	600	2	Plant	EARTH	None	None
Krokodilus	0	No	1100	1200	4	Reptile	WATER	None	None
Grappler	0	No	1300	1200	4	Reptile	WATER	None	None
Axe Raider	0	No	1700	1150	4	Warrior	EARTH	None	None
Megazowler	0	No	1800	2000	6	Dinosaur	EARTH	None	None
Uraby	0	No	1500	800	4	Dinosaur	EARTH	None	None
Crawling Dragon	0	No	1600	1200	4	Dinosaur	EARTH	None	None
Red-Eyes B. Dragon	0	No	2400	2000	7	Dragon	DARK	None	None
Red-Eyes B. Dragon	1	No	2400	2000	7	Dragon	DARK	None	None
Red-Eyes B. Dragon	2	No	2400	2000	7	Dragon	DARK	None	None
Red-Eyes B. Dragon	3	No	2400	2000	7	Dragon	DARK	None	None
Castle of Dark Illusions	0	No	920	1930	4	Fiend	DARK	Effect	None
Reaper of the Cards	0	No	1380	1930	5	Fiend	DARK	Effect	None
King of Yamimakai	0	No	2000	1530	5	Fiend	DARK	None	None
Barox	0	No	1380	1530	5	Fiend	DARK	Fusion	None
Metal Guardian	0	No	1150	2150	5	Fiend	DARK	None	None
Catapult Turtle	0	No	1000	2000	5	Aqua	WATER	Effect	None
Gyakutenno Megami	0	No	1800	2000	6	Fairy	LIGHT	None	None
Mystic Horseman	0	No	1300	1550	4	Beast	EARTH	None	None
Rabid Horseman	0	No	2000	1700	6	Beast-Warrior	EARTH	Fusion	None
Crass Clown	0	No	1350	1400	4	Fiend	DARK	Effect	None
Armored Zombie	0	No	1500	0	3	Zombie	DARK	None	None
Dragon Zombie	0	No	1600	0	3	Zombie	DARK	None	None
Clown Zombie	0	No	1350	0	2	Zombie	DARK	None	None
Pumpking the King of Ghosts	0	No	1800	2000	6	Zombie	DARK	Effect	None
Battle Warrior	0	No	700	1000	3	Warrior	EARTH	None	None
Wings of Wicked Flame	0	No	700	600	2	Pyro	FIRE	None	None
Mask of Darkness	0	No	900	400	2	Fiend	DARK	Effect	None
Job-Change Mirror	0	No	800	1300	3	Fiend	DARK	None	None
Curtain of the Dark Ones	0	No	600	500	2	Spellcaster	DARK	None	None
Kageningen	0	No	800	600	2	Warrior	DARK	None	None
Graveyard and the Hand of Invitation	0	No	700	900	3	Zombie	DARK	None	None
Goddess with the Third Eye	0	No	1200	1000	4	Fairy	LIGHT	Effect	None
Hero of the East	0	No	1100	1000	3	Warrior	EARTH	None	None
That Which Feeds on Life	0	No	1200	1000	4	Fiend	DARK	None	None
Dark Gray	0	No	800	900	3	Beast	EARTH	None	None
White Magical Hat	0	No	1000	700	3	Spellcaster	LIGHT	Effect	None
Kamionwizard	0	No	1300	1100	4	Spellcaster	DARK	Fusion	None
Nightmare Scorpion	0	No	900	800	3	Insect	EARTH	None	None
Spirit of the Books	0	No	1400	1200	4	Winged Beast	WIND	None	None
Supporter in the Shadows	0	No	1000	1000	3	Warrior	EARTH	None	None
Trial of Nightmare	0	Yes	1300	900	4	Fiend	DARK	None	None
Dream Clown	0	No	1200	900	3	Warrior	EARTH	Effect	None
Sleeping Lion	0	No	700	1700	4	Beast	EARTH	None	None
Yamatano Dragon Scroll	0	No	900	300	2	Dragon	WIND	None	None
Faith Bird	0	No	1500	1100	4	Winged Beast	WIND	None	None
Nemuriko	0	No	800	700	3	Spellcaster	DARK	None	None
Weather Control	0	No	600	400	2	Fairy	LIGHT	None	None
The 13th Grave	0	No	1200	900	3	Zombie	DARK	None	None
Charubin the Fire Knight	0	No	1100	800	3	Pyro	FIRE	Fusion	None
Mystical Capture Chain	0	No	700	700	2	Fairy	LIGHT	None	None
Fiend's Hand	0	No	600	600	2	Zombie	DARK	None	None
Witty Phantom	0	No	1400	1300	4	Fiend	DARK	None	None
Dragon Statue	0	No	1100	900	3	Warrior	EARTH	None	None
Blue-Eyed Silver Zombie	0	No	900	700	3	Zombie	DARK	None	None
Toad Master	0	No	1000	1000	3	Aqua	WATER	None	None
Spiked Snail	0	No	700	1300	3	Insect	DARK	None	None
Flame Manipulator	0	No	900	1000	3	Spellcaster	FIRE	None	None
Necrolancer the Timelord	0	No	800	900	3	Spellcaster	DARK	None	None
Djinn the Watcher of the Wind	0	No	700	900	3	Spellcaster	WIND	None	None
The Bewitching Phantom Thief	0	No	700	700	2	Spellcaster	DARK	None	None
Temple of Skulls	0	No	900	1300	4	Zombie	DARK	None	None
Monster Egg	0	No	600	900	3	Warrior	EARTH	None	None
The Shadow Who Controls the Dark	0	No	800	700	3	Fiend	DARK	None	None
Lord of the Lamp	0	No	1400	1200	4	Fiend	DARK	None	None
Rhaimundos of the Red Sword	0	No	1200	1300	4	Warrior	EARTH	None	None
The Melting Red Shadow	0	No	500	700	2	Aqua	WATER	None	None
Dokuroizo the Grim Reaper	0	No	900	1200	3	Zombie	DARK	None	None
Fire Reaper	0	No	700	500	2	Zombie	DARK	None	None
Larvas	0	No	800	1000	3	Beast	EARTH	None	None
Hard Armor	0	No	300	1200	3	Warrior	EARTH	None	None
Firegrass	0	No	700	600	2	Plant	EARTH	None	None
Man Eater	0	No	800	600	2	Plant	EARTH	None	None
Dig Beak	0	No	500	800	2	Beast	EARTH	None	None
M-Warrior	0	No	1000	500	3	Warrior	EARTH	None	None
M-Warrior	0	No	500	1000	3	Warrior	EARTH	None	None
Lisark	0	No	1300	1300	4	Beast	EARTH	None	None
Lord of Zemia	0	No	1300	1000	4	Fiend	DARK	None	None
The Judgement Hand	0	No	1400	700	3	Warrior	EARTH	None	None
Mysterious Puppeteer	0	No	1000	1500	4	Warrior	EARTH	Effect	None
Darkfire Dragon	0	No	1500	1250	4	Dragon	DARK	Fusion	None
Dark King of the Abyss	0	No	1200	800	3	Fiend	DARK	None	None
Spirit of the Harp	0	No	800	2000	4	Fairy	LIGHT	None	None
Armaill	0	No	700	1300	3	Warrior	EARTH	None	None
Dark Prisoner	0	No	600	1000	3	Fiend	DARK	None	None
Hurricail	0	No	900	200	2	Spellcaster	WIND	None	None
Fire Eye	0	No	800	600	2	Pyro	FIRE	None	None
Monsturtle	0	No	800	1000	3	Aqua	WATER	None	None
Claw Reacher	0	No	1000	800	3	Fiend	DARK	None	None
Phantom Dewan	0	No	700	600	2	Spellcaster	DARK	None	None
Arlownay	0	Yes	800	1000	3	Plant	EARTH	None	None
Dark Shade	0	No	1000	1000	3	Fiend	WIND	None	None
Masked Clown	0	No	500	700	2	Warrior	DARK	None	None
Lucky Trinket	0	No	600	800	2	Spellcaster	LIGHT	None	None
Genin	0	No	600	900	3	Spellcaster	LIGHT	None	None
Eyearmor	0	No	600	500	2	Warrior	EARTH	None	None
Fiend Reflection	0	No	1100	1400	4	Winged Beast	LIGHT	None	None
Gate Deeg	0	No	700	800	3	Beast	DARK	None	None
Synchar	0	No	800	900	3	Beast	EARTH	None	None
Fusionist	0	No	900	700	3	Beast	EARTH	Fusion	None
Akakieisu	0	No	1000	800	3	Spellcaster	DARK	None	None
LaLa Li-oon	0	No	600	600	2	Thunder	WIND	None	None
Turtle Tiger	0	No	1000	1500	4	Aqua	WATER	None	None
Terra the Terrible	0	No	1200	1300	4	Fiend	DARK	None	None
Doron	0	No	900	500	2	Warrior	EARTH	None	None
Arma Knight	0	No	1000	1200	4	Aqua	WATER	None	None
Happy Lover	0	No	800	500	2	Fairy	LIGHT	None	None
Penguin Knight	0	No	900	800	3	Aqua	WATER	Effect	None
Petit Dragon	0	No	600	700	2	Dragon	WIND	None	None
Frenzied Panda	0	No	1200	1000	4	Beast	EARTH	None	None
Archfiend Marmot of Nefariousness	0	No	400	600	2	Beast	EARTH	None	None
Phantom Ghost	0	No	600	800	2	Zombie	DARK	None	None
Dorover	0	No	900	800	3	Aqua	WATER	None	None
Twin Long Rods	0	No	900	700	3	Aqua	WATER	None	None
Droll Bird	0	No	600	500	2	Winged Beast	WIND	None	None
Petit Angel	0	Yes	600	900	3	Fairy	LIGHT	None	None
Winged Cleaver	0	No	700	700	2	Insect	EARTH	None	None
Hinotama Soul	0	No	600	500	2	Pyro	FIRE	None	None
Kaminarikozou	0	No	700	600	2	Thunder	WIND	None	None
Meotoko	0	No	700	600	2	Beast	EARTH	None	None
Aqua Madoor	0	No	1200	2000	4	Spellcaster	WATER	None	None
Kagemusha of the Blue Flame	0	No	800	400	2	Warrior	EARTH	None	None
Flame Ghost	0	No	1000	800	3	Zombie	DARK	Fusion	None
Dryad	0	No	1200	1400	4	Spellcaster	EARTH	None	None
B. Skull Dragon	0	No	3200	2500	9	Dragon	DARK	Fusion	None
Two-Mouth Darkruler	0	No	900	700	3	Dinosaur	EARTH	None	None
Solitude	0	Yes	1050	1000	3	Beast-Warrior	EARTH	None	None
Masked Sorcerer	0	No	900	1400	4	Spellcaster	DARK	Effect	None
Kumootoko	0	No	700	1400	3	Insect	EARTH	None	None
Midnight Fiend	0	No	800	600	2	Fiend	DARK	None	None
Trap Master	0	No	500	1100	3	Warrior	EARTH	Effect	None
Fiend Sword	0	No	1400	800	4	Warrior	DARK	None	None
Skull Stalker	0	No	900	800	3	Warrior	DARK	None	None
Hitodenchak	0	No	600	700	2	Aqua	WATER	None	None
Wood Remains	0	No	1000	900	3	Zombie	DARK	None	None
Hourglass of Life	0	No	700	600	2	Fairy	LIGHT	None	None
Rare Fish	0	No	1500	1200	4	Fish	WATER	Fusion	None
Wood Clown	0	No	800	1200	3	Warrior	EARTH	None	None
Madjinn Gunn	0	No	600	800	2	Fiend	DARK	None	None
Dark Titan of Terror	0	No	1300	1100	4	Fiend	DARK	None	None
Beautiful Headhuntress	0	No	1600	800	4	Warrior	EARTH	None	None
Guardian of the Labyrinth	0	No	1000	1200	4	Warrior	EARTH	None	None
Yashinoki	0	No	800	600	2	Plant	EARTH	None	None
Vishwar Randi	0	Yes	900	700	3	Warrior	DARK	None	None
The Drdek	0	No	700	800	3	Fiend	DARK	None	None
Dark Assailant	0	No	1200	1200	4	Zombie	DARK	None	None
Candle of Fate	0	No	600	600	2	Fiend	DARK	None	None
Water Element	0	Yes	900	700	3	Aqua	WATER	None	None
Dissolverock	0	No	900	1000	3	Rock	EARTH	None	None
Meda Bat	0	No	800	400	2	Fiend	DARK	None	None
One Who Hunts Souls	0	No	1100	1000	4	Beast-Warrior	EARTH	None	None
Root Water	0	No	900	800	3	Fish	WATER	None	None
Master & Expert	0	No	1200	1000	4	Beast	EARTH	None	None
Water Omotics	0	Yes	1400	1200	4	Aqua	WATER	None	None
Hyo	0	No	800	1200	3	Warrior	WATER	None	None
Enchanting Mermaid	0	Yes	1200	900	3	Fish	WATER	None	None
Nekogal	0	Yes	1100	900	3	Beast	EARTH	None	None
Fairywitch	0	No	800	1000	3	Spellcaster	DARK	None	None
Embryonic Beast	0	No	500	750	2	Fiend	DARK	None	None
Prevent Rat	0	No	500	2000	4	Beast	EARTH	None	None
Dimensional Warrior	0	No	1200	1000	4	Warrior	EARTH	Effect	None
Stone Armadiller	0	No	800	1200	3	Rock	EARTH	None	None
Beastking of the Swamps	0	No	1000	1100	4	Aqua	WATER	Effect	None
Ancient Sorcerer	0	Yes	1000	1300	4	Spellcaster	DARK	None	None
Lunar Queen Elzaim	0	Yes	750	1100	3	Fairy	LIGHT	None	None
Wicked Mirror	0	No	700	600	2	Fiend	DARK	None	None
The Little Swordsman of Aile	0	No	800	1300	3	Warrior	WATER	Effect	None
Rock Ogre Grotto	0	No	700	1400	3	Rock	EARTH	None	None
Wing Egg Elf	0	No	500	1300	3	Fairy	LIGHT	None	None
The Furious Sea King	0	No	800	700	3	Aqua	WATER	None	None
Princess of Tsurugi	0	No	900	700	3	Warrior	WIND	Effect	None
Unknown Warrior of Fiend	0	No	1000	500	3	Warrior	DARK	None	None
Sectarian of Secrets	0	Yes	700	500	2	Spellcaster	DARK	None	None
Versago the Destroyer	0	No	1100	900	3	Fiend	DARK	Effect	None
Wetha	0	No	1000	900	3	Aqua	WATER	None	None
Megirus Light	0	No	900	600	3	Fiend	DARK	None	None
Mavelus	0	No	1300	900	4	Winged Beast	WIND	Fusion	None
Ancient Tree of Enlightenment	0	No	600	1500	3	Plant	EARTH	None	None
Green Phantom King	0	No	500	1600	3	Plant	EARTH	None	None
Ground Attacker Bugroth	0	No	1500	1000	4	Machine	EARTH	None	None
Ray & Temperature	0	No	1000	1000	3	Fairy	LIGHT	None	None
Gorgon Egg	0	No	300	1300	3	Fiend	DARK	None	None
Petit Moth	0	No	300	200	1	Insect	EARTH	None	None
King Fog	0	No	1000	900	3	Fiend	DARK	None	None
Protector of the Throne	0	Yes	800	1500	4	Warrior	EARTH	None	None
Mystic Clown	0	No	1500	1000	4	Fiend	DARK	None	None
Mystical Sheep	0	No	800	1000	3	Beast	EARTH	None	None
Holograh	0	No	1100	700	3	Machine	EARTH	None	None
Tao the Chanter	0	No	1200	900	3	Spellcaster	EARTH	None	None
Serpent Marauder	0	No	700	600	2	Reptile	EARTH	None	None
Ogre of the Black Shadow	0	No	1200	1400	4	Beast-Warrior	EARTH	None	None
Moon Envoy	0	No	1100	1000	4	Warrior	LIGHT	None	None
Fireyarou	0	No	1300	1000	4	Pyro	FIRE	None	None
Psychic Kappa	0	No	400	1000	2	Aqua	WATER	None	None
Masaki the Legendary Swordsman	0	No	1100	1100	4	Warrior	EARTH	None	None
Dragoness the Wicked Knight	0	No	1200	900	3	Warrior	WIND	Fusion	None
Bio Plant	0	No	600	1300	3	Fiend	DARK	None	None
One-Eyed Shield Dragon	0	No	700	1300	3	Dragon	WIND	None	None
Cyber Soldier of Darkworld	0	No	1400	1200	4	Machine	DARK	None	None
Wicked Dragon with the Ersatz Head	0	No	900	900	3	Dragon	WIND	None	None
Sonic Maid	0	Yes	1200	900	3	Warrior	EARTH	None	None
Kurama	0	No	800	800	3	Winged Beast	WIND	None	None
Axe of Despair	0	Yes	0	0	0	Spell	Spell	Spell	Equip
Insect Armor with Laser Cannon	0	No	0	0	0	Spell	Spell	Spell	Equip
Black Pendant	0	No	0	0	0	Spell	Spell	Spell	Equip
Horn of Light	0	No	0	0	0	Spell	Spell	Spell	Equip
Horn of the Unicorn	0	No	0	0	0	Spell	Spell	Spell	Equip
Elegant Egotist	0	No	0	0	0	Spell	Spell	Spell	None
Stop Defense	0	No	0	0	0	Spell	Spell	Spell	None
Malevolent Nuzzler	0	No	0	0	0	Spell	Spell	Spell	Equip
Dragon Capture Jar	0	No	0	0	0	Trap	Trap	Trap	Continuous
Forest	0	No	0	0	0	Spell	Spell	Spell	Field
Wasteland	0	No	0	0	0	Spell	Spell	Spell	Field
Mountain	0	No	0	0	0	Spell	Spell	Spell	Field
Sogen	0	No	0	0	0	Spell	Spell	Spell	Field
Umi	0	No	0	0	0	Spell	Spell	Spell	Field
Yami	0	No	0	0	0	Spell	Spell	Spell	Field
Dark Hole	0	No	0	0	0	Spell	Spell	Spell	None
Raigeki	0	No	0	0	0	Spell	Spell	Spell	None
Mooyan Curry	0	No	0	0	0	Spell	Spell	Spell	None
Red Medicine	0	No	0	0	0	Spell	Spell	Spell	None
Goblin's Secret Remedy	0	No	0	0	0	Spell	Spell	Spell	None
Soul of the Pure	0	Yes	0	0	0	Spell	Spell	Spell	None
Dian Keto the Cure Master	0	Yes	0	0	0	Spell	Spell	Spell	None
Sparks	0	No	0	0	0	Spell	Spell	Spell	None
Ookazi	0	No	0	0	0	Spell	Spell	Spell	None
Tremendous Fire	0	Yes	0	0	0	Spell	Spell	Spell	None
Swords of Revealing Light	0	No	0	0	0	Spell	Spell	Spell	None
Spellbinding Circle	0	Yes	0	0	0	Trap	Trap	Trap	Continuous
Dark-Piercing Light	0	No	0	0	0	Spell	Spell	Spell	None
Yaranzo	0	No	1300	1500	4	Zombie	DARK	None	None
Kanan the Swordmistress	0	Yes	1400	1400	4	Warrior	EARTH	None	None
Takriminos	0	No	1500	1200	4	Sea Serpent	WATER	None	None
Stuffed Animal	0	No	1200	900	3	Warrior	EARTH	None	None
Super War-Lion	0	No	2300	2100	7	Beast	EARTH	Ritual	None
Three-Legged Zombies	0	No	1100	800	3	Zombie	DARK	None	None
Zera The Mant	0	No	2800	2300	8	Fiend	DARK	Ritual	None
Flying Penguin	0	No	1200	1000	4	Aqua	WATER	None	None
Millennium Shield	0	No	0	3000	5	Warrior	EARTH	None	None
Millennium Shield	1	No	0	3000	5	Warrior	EARTH	None	None
Fairy's Gift	0	Yes	1400	1000	4	Spellcaster	LIGHT	None	None
Black Luster Soldier	0	No	3000	2500	8	Warrior	EARTH	Ritual	None
Fiend's Mirror	0	No	2100	1800	6	Fiend	DARK	Ritual	None
Labyrinth Wall	0	No	0	3000	5	Rock	EARTH	None	None
Jirai Gumo	0	No	2200	100	4	Insect	EARTH	Effect	None
Shadow Ghoul	0	No	1600	1300	5	Zombie	DARK	Effect	None
Wall Shadow	0	No	1600	3000	7	Warrior	DARK	Effect	None
Labyrinth Tank	0	No	2400	2400	7	Machine	DARK	Fusion	None
Sanga of the Thunder	0	No	2600	2200	7	Thunder	LIGHT	Effect	None
Kazejin	0	No	2400	2200	7	Spellcaster	WIND	Effect	None
Suijin	0	No	2500	2400	7	Aqua	WATER	Effect	None
Gate Guardian	0	No	3750	3400	11	Warrior	DARK	Effect	None
Ryu-Kishin Powered	0	No	1600	1200	4	Fiend	DARK	None	None
Swordstalker	0	No	2000	1600	6	Warrior	DARK	None	None
La Jinn the Mystical Genie of the Lamp	0	No	1800	1000	4	Fiend	DARK	None	None
La Jinn the Mystical Genie of the Lamp	1	No	1800	1000	4	Fiend	DARK	None	None
Blue-Eyes Ultimate Dragon	0	No	4500	3800	12	Dragon	LIGHT	Fusion	None
Blue-Eyes Ultimate Dragon	1	No	4500	3800	12	Dragon	LIGHT	Fusion	None
Toon Alligator	0	No	800	1600	4	Reptile	WATER	None	None
Parrot Dragon	0	No	2000	1300	5	Dragon	WIND	None	None
Dark Rabbit	0	No	1100	1500	4	Beast	DARK	None	None
Bickuribox	0	No	2300	2000	7	Fiend	DARK	Fusion	None
Harpie's Pet Dragon	0	No	2000	2500	7	Dragon	WIND	Effect	None
Pendulum Machine	0	No	1750	2000	6	Machine	DARK	None	None
Pendulum Machine	1	No	1750	2000	6	Machine	DARK	None	None
Giltia the D. Knight	0	No	1850	1500	5	Warrior	LIGHT	Fusion	None
Launcher Spider	0	No	2200	2500	7	Machine	FIRE	None	None
Launcher Spider	1	No	2200	2500	7	Machine	FIRE	None	None
Zoa	0	No	2600	1900	7	Fiend	DARK	None	None
Metalzoa	0	No	3000	2300	8	Machine	DARK	Effect	None
Ocubeam	0	No	1550	1650	5	Fairy	LIGHT	None	None
Monster Eye	0	No	250	350	1	Fiend	DARK	Effect	None
Yaiba Robo	0	Yes	1000	1300	4	Machine	DARK	None	None
Machine King	0	No	2200	2000	6	Machine	EARTH	Effect	None
Metal Dragon	0	No	1850	1700	6	Machine	WIND	Fusion	None
Giga-Tech Wolf	0	No	1200	1400	4	Machine	FIRE	None	None
Shovel Crusher	0	No	900	1200	3	Machine	EARTH	None	None
Mechanicalchaser	0	No	1850	800	4	Machine	DARK	None	None
Blocker	0	No	850	1800	4	Machine	DARK	None	None
Golgoil	0	No	900	1600	4	Machine	EARTH	None	None
Cyber-Stein	0	No	700	500	2	Machine	DARK	Effect	None
Cyber Commander	0	Yes	750	700	2	Machine	DARK	None	None
Jinzo	0	No	500	400	2	Machine	DARK	Effect	None
Thunder Dragon	0	No	1600	1500	5	Thunder	LIGHT	Effect	None
Kaiser Dragon	0	No	2300	2000	7	Dragon	LIGHT	Fusion	None
Magician of Faith	0	No	300	400	1	Spellcaster	LIGHT	Effect	None
Goddess of Whim	0	Yes	950	700	3	Fairy	LIGHT	Effect	None
Water Magician	0	Yes	1400	1000	4	Aqua	WATER	None	None
Ice Water	0	Yes	1150	900	3	Aqua	WATER	None	None
Waterdragon Fairy	0	Yes	1100	700	3	Aqua	WATER	None	None
Ancient Elf	0	No	1450	1200	4	Spellcaster	LIGHT	None	None
Water Girl	0	Yes	1250	1000	4	Aqua	WATER	None	None
Deepsea Shark	0	No	1900	1600	5	Fish	WATER	Fusion	None
Bottom Dweller	0	No	1650	1700	5	Fish	WATER	None	None
7 Colored Fish	0	No	1800	800	4	Fish	WATER	None	None
Guardian of the Sea	0	No	1300	1000	4	Aqua	WATER	None	None
Aqua Snake	0	No	1050	900	3	Aqua	WATER	None	None
Giant Red Seasnake	0	No	1800	800	4	Aqua	WATER	None	None
Kappa Avenger	0	No	1200	900	3	Aqua	WATER	None	None
Kanikabuto	0	No	650	900	3	Aqua	WATER	None	None
Zarigun	0	No	600	700	2	Aqua	WATER	None	None
Millennium Golem	0	No	2000	2200	6	Rock	EARTH	None	None
Destroyer Golem	0	No	1500	1000	4	Rock	EARTH	None	None
Barrel Rock	0	Yes	1000	1300	4	Rock	EARTH	None	None
Minomushi Warrior	0	No	1300	1200	4	Rock	EARTH	None	None
Stone Ghost	0	No	1200	1000	4	Rock	EARTH	None	None
Kaminari Attack	0	No	1900	1400	5	Thunder	WIND	Fusion	None
Tripwire Beast	0	No	1200	1300	4	Thunder	EARTH	None	None
Bolt Penguin	0	No	1100	800	3	Thunder	WATER	None	None
The Immortal of Thunder	0	No	1500	1300	4	Thunder	LIGHT	Effect	None
Electric Snake	0	No	800	900	3	Thunder	LIGHT	Effect	None
Punished Eagle	0	No	2100	1800	6	Winged Beast	WIND	Fusion	None
Skull Red Bird	0	No	1550	1200	4	Winged Beast	WIND	None	None
Crimson Sunbird	0	No	2300	1800	6	Winged Beast	FIRE	Fusion	None
Armed Ninja	0	No	300	300	1	Warrior	EARTH	Effect	None
Magical Ghost	0	No	1300	1400	4	Zombie	DARK	None	None
Soul Hunter	0	No	2200	1800	6	Fiend	DARK	Fusion	None
Vermillion Sparrow	0	No	1900	1500	5	Pyro	FIRE	Fusion	None
Sea Kamen	0	No	1100	1300	4	Aqua	WATER	None	None
Sinister Serpent	0	No	300	250	1	Reptile	WATER	Effect	None
Ganigumo	0	No	600	800	2	Insect	EARTH	None	None
