index	card	atk	def	level	race	attribute	type	spell/trap type	description	rating
363	Jinzo	500	400	2	Machine	DARK	Effect	None	This monster can attack your opponent's Life Points directly.	17
308	Swords of Revealing Light	0	0	0	Spell	Spell	Spell	None	Flip all face-down monsters on your opponent's side of the field face-up. This card remains face-up on the field for 3 of your opponent's turns. As long as this card remains face-up on the field, your opponent cannot declare an attack.	17
1714	Thestalos the Firestorm Monarch	2400	1000	6	Pyro	FIRE	Effect	None	When this card is Tribute Summoned successfully, randomly discard 1 card from your opponent's hand to the Graveyard. If the discarded card was a Monster Card, inflict damage to your opponent's Life Points equal to the Level of the monster x 100 points.	17
2046	Treeborn Frog	100	100	1	Aqua	WATER	Effect	None	If this card is in your Graveyard during your Standby Phase and there are no Spell or Trap Cards on your side of the field, you can Special Summon this card to your side of the field. This effect cannot be activated if there is a face-up @5"Treeborn Frog"@7 on your side of the field.	17
1376	Tsukuyomi	1100	1400	4	Spellcaster	DARK	Spirit	None	This card cannot be Special Summoned. This card returns to the owner's hand during the End Phase of the turn that it is Normal Summoned or flipped face-up. When this card is Normal Summoned or flipped face-up, select 1 face-up monster on the field and flip it into face-down Defense Position.	17
557	Widespread Ruin	0	0	0	Trap	Trap	Trap	None	You can only activate this card when your opponent declares an attack. Destroy 1 monster with the highest ATK among your opponent's Attack Position monsters.	17
558	Widespread Ruin	0	0	0	Trap	Trap	Trap	None	You can only activate this card when your opponent declares an attack. Destroy 1 monster with the highest ATK among your opponent's Attack Position monsters.	17
1088	Bottomless Trap Hole	0	0	0	Trap	Trap	Trap	None	When your opponent Normal Summons, Flip Summons, or Special Summons a monster(s) with an ATK of 1500 or more, destroy and remove from play the monster(s).	16
728	Cyber Jar	900	900	3	Rock	DARK	Effect	None	FLIP: Destroy all monsters on the field. Both players then pick up 5 cards from the top of their respective Decks and Special Summon all Level 4 or lower Monster Cards among them on the field in face-up Attack Position or face-down Defense Position. The rest of the cards picked up are added to their respective hands.	16
1725	Dekoichi the Battlechanted Locomotive	1400	1000	4	Machine	DARK	Effect	None	FLIP: Draw 1 card. If you have face-up @5"Bokoichi the Freightening Car"@7 card(s) on your side of the field, draw an additional card for each of them.	16
958	Kycoo the Ghost Destroyer	1800	700	4	Spellcaster	DARK	Effect	None	Each time this card inflicts Battle Damage to your opponent's Life Points, you can remove up to 2 Monster Cards in your opponent's Graveyard from play. In addition, as long as this card remains face-up on the field, your opponent cannot remove any cards in either Graveyard from play.	16
683	Solemn Judgment	0	0	0	Trap	Trap	Trap	Counter	Pay half of your Life Points. Negate an activation of a Spell / Trap Card / Normal Summon / Flip Summon / Special Summon and destroy the Spell Card, Trap Card, or Summoned monster.	16
960	Bazoo the Soul-Eater	1600	900	4	Beast	EARTH	Effect	None	You can remove up to 3 Monster Cards in your Graveyard from play to increase the ATK of this monster by 300 points for each card removed from play until the end of your opponent's next turn. This effect can only be used once during your turn.	15
1111	Don Zaloog	1400	1500	4	Warrior	DARK	Effect	None	When this card inflicts Battle Damage to your opponent's Life Points, you can select and activate 1 of the following effects: @4 @7Select 1 card from your opponent's hand randomly and discard it to the Graveyard. @4 @7Send 2 cards from the top of your opponent's Deck to the Graveyard.	15
730	Giant Rat	1400	1450	4	Beast	EARTH	Effect	None	When this card is sent to the Graveyard as a result of battle, you can Special Summon 1 EARTH monster with an ATK of 1500 or less in face-up Attack Position from your Deck. Then shuffle your Deck.	15
1164	Gravekeeper's Spy	1200	2000	4	Spellcaster	DARK	Effect	None	FLIP: Special Summon 1 Monster Card that includes @5"Gravekeeper's"@7 in its card name with an ATK of 1500 or less from your Deck.	15
1596	Level Limit - Area B	0	0	0	Spell	Spell	Spell	Continuous	All face-up Level 4 or higher monsters on the field are in Defense Position while this card is active.	15
1283	Magical Merchant	200	700	1	Insect	LIGHT	Effect	None	FLIP: Pick up cards from the top of your Deck until a Spell Card or Trap Card is picked up. Add that card to your hand. Send the remaining cards to the Graveyard.	15
1191	Metamorphosis	0	0	0	Spell	Spell	Spell	None	Tribute 1 monster on your side of the field. Special Summon 1 Fusion Monster of the same Level as the Tributed monster from your Fusion Deck.	15
488	Morphing Jar	700	600	2	Rock	EARTH	Effect	None	FLIP: Both you and your opponent discard all cards in your hands. After that, both players draw 5 cards from their respective Decks.	15
1195	Raigeki Break	0	0	0	Trap	Trap	Trap	None	Discard 1 card from your hand. Destroy 1 card on the field.	15
1615	Return from the Different Dimension	0	0	0	Trap	Trap	Trap	None	Pay half your Life Points. Special Summon as many of your monsters as possible that have been removed from play on your side of the field. During the End Phase, remove from play all monsters that were Special Summoned by this effect.	15
1637	Mystic Swordsman LV2	900	0	2	Warrior	EARTH	Effect	None	If this card attacks a face-down Defense Position monster, destroy the monster immediately with this card's effect without flipping it face-up or applying damage calculation. During the End Phase of a turn that this card destroyed a monster as a result of battle, by sending this card to the Graveyard, Special Summon 1 @5"Mystic Swordsman LV4"@7 from your hand or Deck.	14
1797	Threatening Roar	0	0	0	Trap	Trap	Trap	None	Your opponent cannot declare an attack during this turn.	14
1595	7	0	0	0	Spell	Spell	Spell	Continuous	When there are 3 face-up @5"7"@7 cards on your side of the field, draw 3 cards from your Deck. Then destroy all @5"7"@7 cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.	
894	4-Starred Ladybug of Doom	800	1200	3	Insect	WIND	Effect	None	FLIP: Destroy all face-up Level 4 monsters on your opponent's side of the field.	
375	7 Colored Fish	1800	800	4	Fish	WATER	None	None	A rare rainbow fish that has never been caught by mortal man.	
1172	A Cat of Ill Omen	500	300	2	Beast	DARK	Effect	None	FLIP: Select 1 Trap Card from your Deck and place it on top of your Deck. If @5"Necrovalley"@7 is on the field, you can add the selected Trap Card to your hand instead.	
1330	A Deal with Dark Ruler	0	0	0	Spell	Spell	Spell	Quick-Play	You can only activate this card during a turn in which a Level 8 or higher monster on your side of the field was sent to the Graveyard. Special Summon 1 @5"Berserk Dragon"@7 from your hand or Deck.	
1787	A Feather of the Phoenix	0	0	0	Spell	Spell	Spell	None	Discard 1 card from your hand. Select 1 card from your Graveyard and return it to the top of your Deck.	
1028	A Feint Plan	0	0	0	Trap	Trap	Trap	None	A player cannot attack face-down monsters during this turn.	
1491	A Hero Emerges	0	0	0	Trap	Trap	Trap	None	You can only activate this card when your opponent declares an attack. Select 1 random card from your hand. If it is a Monster Card, Special Summon it on your side of the field. If not, send it to the Graveyard.	
1078	A Legendary Ocean	0	0	0	Spell	Spell	Spell	Field	This card's name is treated as @5"Umi"@7. Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increase the ATK and DEF of all WATER monsters by 200 points.	
1170	A Man with Wdjat	1600	1600	4	Spellcaster	DARK	Effect	None	When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.	
1928	A Rival Appears!	0	0	0	Trap	Trap	Trap	None	Select 1 face-up monster on your opponent's side of the field. Special Summon from your hand 1 monster that has the same Level as the selected monster.	
1039	A Wingbeat of Giant Dragon	0	0	0	Spell	Spell	Spell	None	Return 1 face-up Level 5 or higher Dragon-Type monster on your side of the field to the owner's hand and destroy all Spell and Trap Cards on the field.	
1726	A-Team: Trap Disposal Unit	300	400	2	Machine	FIRE	Effect	None	This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.	
1776	Abare Ushioni	1200	1200	4	Beast-Warrior	EARTH	Effect	None	Toss a coin and call it. If you call it right, inflict 1000 points of damage to your opponent's Life Points. If you call it wrong, you take 1000 points of damage. You can only use this effect once per turn, during your Main Phase.	
1674	Absolute End	0	0	0	Trap	Trap	Trap	None	You can only activate this card during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks to your Life Points.	
1578	Absorbing Kid from the Sky	1300	1000	4	Fairy	LIGHT	Effect	None	When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.	
479	Abyss Flower	750	400	2	Plant	EARTH	None	None	A rarely seen flower that blossoms quietly on the edge of darkness.	
1500	Abyss Soldier	1800	1300	4	Aqua	WATER	Effect	None	Discard 1 WATER monster from your hand to the Graveyard. Return 1 card on the field to the owner's hand. You can only use this effect once per turn, during your Main Phase.	
1665	Abyssal Designator	0	0	0	Spell	Spell	Spell	None	Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the Type and Attribute declared from his/her hand or Deck to the Graveyard.	
525	Acid Crawler	900	700	3	Insect	EARTH	None	None	A giant caterpillar that secretes an acid mist that melts anything.	
555	Acid Trap Hole	0	0	0	Trap	Trap	Trap	None	Flip 1 face-down Defense Position monster face-up. If the monster's DEF is 2000 points or less, the monster is destroyed. If the DEF is more than 2000 points, return the monster to its face-down Defense Position.	
556	Acid Trap Hole	0	0	0	Trap	Trap	Trap	None	Flip 1 face-down Defense Position monster face-up. If the monster's DEF is 2000 points or less, the monster is destroyed. If the DEF is more than 2000 points, return the monster to its face-down Defense Position.	
1314	Acrobat Monkey	1000	1800	3	Machine	EARTH	None	None	An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.	
1252	Adhesion Trap Hole	0	0	0	Trap	Trap	Trap	None	You can only activate this card when your opponent successfully Normal Summons, Flip Summons, or Special Summons a monster(s). As long as the monster(s) remains on the field, the original ATK of the monster(s) is halved.	
2032	Adhesive Explosive	1000	1000	3	Machine	WIND	Effect	None	If your opponent's monster attacks this face-down Defense Position card, this card becomes an Equip Card equipped to the attacking monster, without applying damage calculation. Destroy the equipped monster during the Standby Phase of your opponent's next turn.	
1085	After the Struggle	0	0	0	Spell	Spell	Spell	None	This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.	
1060	Agido	1500	1300	4	Fairy	EARTH	Effect	None	When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can Special Summon 1 Fairy-Type monster from your Graveyard whose Level is equal to the number rolled. (If the result is 6, you can Special Summon a Level 6 or higher monster.)	
816	Airknight Parshath	1900	1400	5	Fairy	LIGHT	Effect	None	When this card attacks with an ATK higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. When this card inflicts Battle Damage to your opponent's Life Points, draw 1 card from your Deck.	
1263	Aitsu	100	100	5	Fairy	FIRE	None	None	He seems to be very unreliable, but he might have incredible potential.	
181	Akakieisu	1000	800	3	Spellcaster	DARK	None	None	A sorcerer who utters spells that can render monsters unconscious.	
402	Alinsection	950	700	3	Insect	EARTH	None	None	A stag beetle with saw-like head and arms.	
1936	Alkana Knight Joker	3800	2500	9	Warrior	LIGHT	Fusion/Effect	None	@5"Queen's Knight"@7 + @5"Jack's Knight"@7 + @5"King's Knight"@7 A Fusion Summon of this card can only be conducted with the above Fusion Material Monsters. While this card remains on the Field in face-up position, you can cancel the effect of Spell, Trap, and Effect Monster Cards by discarding a card of the same type from your Hand (any Monster Card can be discarded to cancel the effect of an Effect Monster Card). This effect can only be used once per turn.	
623	Alligator's Sword	1500	1200	4	Beast	EARTH	None	None	This lizard man can swing a sword at velocities that exceed the speed of sound.	
799	Alligator's Sword Dragon	1700	1500	5	Dragon	WIND	Fusion/Effect	None	@5"Baby Dragon"@7 + @5"Alligator's Sword"@7 You can Inflict Direct Damage to your opponent's Life Points with this card if the only Attributes of Monster Cards on your opponent's side of the field are EARTH, WATER, or FIRE.	
598	Alpha The Magnet Warrior	1400	1700	4	Rock	EARTH	None	None	Alpha, Beta, and Gamma meld as one to form a powerful monster.	
1387	Altar for Tribute	0	0	0	Trap	Trap	Trap	None	Select 1 monster on your side of the field and send it to the Graveyard. Increase your Life Points by an amount equal to the original ATK of the monster.	
915	Amazon Archer	1400	1000	4	Warrior	EARTH	Effect	None	Offer 2 monsters on your side of the field as a Tribute to inflict 1200 points of damage to your opponent's Life Points.	
516	Amazon of the Seas	1300	1400	4	Fish	WATER	None	None	A mermaid who serves as herald of the Sea King and guards the sanctuary.	
992	Amazoness Archers	0	0	0	Trap	Trap	Trap	None	You can only activate this card when your opponent declares an attack and if there is a monster(s) on your side of the field that includes @5"Amazoness"@7 in its card name, or is named @5"Amazon Archer"@7. All monsters on your opponent's side of the field are changed to face-up Attack Position (Flip Effects are not activated), and as long as they remain face-up on the field, their ATK(s) are decreased by 500 points. Your opponent must attack with all of his/her monsters.	
1267	Amazoness Blowpiper	800	1500	3	Warrior	EARTH	Effect	None	Select 1 face-up monster on your opponent's side of the field during each of your Standby Phases. Decrease the ATK of the selected monster by 500 points until the end of this turn.	
995	Amazoness Chain Master	1500	1300	4	Warrior	EARTH	Effect	None	When this monster is destroyed as a result of battle and sent to the Graveyard, by paying 1500 Life Points, look at your opponent's hand and select 1 Monster Card from it. Add the selected card to your hand, and you can use it in this Duel. (When the card is sent to the Graveyard, it is sent to the Graveyard of the owner.)	
998	Amazoness Fighter	1500	1300	4	Warrior	EARTH	Effect	None	All Battle Damage to this card's controller that he/she takes from a battle involving this monster becomes 0.	
1266	Amazoness Paladin	1700	300	4	Warrior	EARTH	Effect	None	Increase the ATK of this monster by 100 points for each monster on your side of the field that includes @5"Amazoness"@7 in its card name, or is named @5"Amazon Archer"@7.	
990	Amazoness Swords Woman	1500	1600	4	Warrior	EARTH	Effect	None	The opponent takes all Battle Damage to this card's controller that he/she would take from a battle involving this card.	
1268	Amazoness Tiger	1100	1500	4	Beast	EARTH	Effect	None	You can only have 1 @5"Amazoness Tiger"@7 on your side of the field. Increase the ATK of this card by 400 points for each monster on your side of the field that includes @5"Amazoness"@7 in its name, or is named @5"Amazon Archer"@7. As long as this card remains face-up on the field, your opponent cannot attack another monster that includes @5"Amazoness"@7 in its name, or is named @5"Amazon Archer"@7.	
407	Ameba	300	350	1	Aqua	WATER	Effect	None	When the control of this face-up card on the field shifts to your opponent, inflict 2000 points of damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field.	
845	Amphibian Beast	2400	2000	6	Fish	WATER	None	None	On land or in the sea, the speed of this monster is unmatchable.	
524	Amphibious Bugroth	1850	1300	5	Aqua	WATER	Fusion	None	@5"Ground Attacker Bugroth"@7 + @5"Guardian of the Sea"@7	
1469	Amphibious Bugroth MK-3	1500	1300	4	Machine	WATER	Effect	None	As long as @5"Umi"@7 remains face-up on the field, this card can attack your opponent's Life Points directly.	
660	Amplifier	0	0	0	Spell	Spell	Spell	Equip	You can only equip this card to @5"Jinzo"@7. As long as this card is equipped, the effects of Trap Cards controlled by the equipped monster's controller are not negated by the effect of the equipped monster. When this card is removed from the field, the equipped monster is destroyed. This card's activation and effect cannot be negated by any other card.	
1175	An Owl of Luck	300	500	2	Winged Beast	WIND	Effect	None	FLIP: Select 1 Field Spell Card from your Deck and place it on top of your Deck. If @5"Necrovalley"@7 is on the field, you can add the selected Field Spell Card to your hand instead.	
371	Ancient Elf	1450	1200	4	Spellcaster	LIGHT	None	None	This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.	
2019	Ancient Gear	100	800	2	Machine	EARTH	Effect	None	While an @5"Ancient Gear"@7 is face-up on your side of the field, you can Special Summon this card from your hand in Attack Position.	
1820	Ancient Gear Beast	2000	2000	6	Machine	EARTH	Effect	None	This card cannot be Special Summoned. The effects of your opponent's Effect Monster that this monster destroys as a result of battle are negated. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step.	
2030	Ancient Gear Cannon	500	500	2	Machine	EARTH	Effect	None	By Tributing this card, inflict 500 points of damage to your opponent's Life Points, and then neither player can activate Trap Cards during the Battle Phase of this turn.	
2026	Ancient Gear Castle	0	0	0	Spell	Spell	Spell	Continuous	Increase the ATK of each face-up monster on the field that includes @5"Ancient Gear"@7 in its card name by 300 points. Each time a monster(s) is Normal Summoned, put 1 counter on this card. If you Tribute Summon a monster that includes @5"Ancient Gear"@7 in its card name, you can substitute this card for a Tribute(s), if the number of counters is equal to or greater than the number of required Tribute(s).	
2022	Ancient Gear Drill	0	0	0	Spell	Spell	Spell	None	You can only activate this card by discarding 1 card from your hand while a monster that includes @5"Ancient Gear"@7 in its card name is face-up on your side of the field. Select 1 Spell Card from your Deck and Set it on your side of the field. You cannot use that Spell Card this turn.	
1819	Ancient Gear Golem	3000	3000	8	Machine	EARTH	Effect	None	This card cannot be Special Summoned. When this card attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step.	
1821	Ancient Gear Soldier	1300	1300	4	Machine	EARTH	Effect	None	If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step.	
950	Ancient Lamp	900	1400	3	Spellcaster	WIND	Effect	None	When this monster is attacked in face-down Defense Position, you can designate 1 opponent's monster as the attack's target instead. When this card is on the field, you can Special Summon @5"La Jinn the Mystical Genie of the Lamp"@7 from your hand.	
520	Ancient Lizard Warrior	1400	1100	4	Reptile	EARTH	None	None	Before the dawn of man, this lizard warrior ruled supreme.	
244	Ancient Sorcerer	1000	1300	4	Spellcaster	DARK	None	None	Armed with an array of spell wands, this creature is capable of multiple attacks.	
258	Ancient Tree of Enlightenment	600	1500	3	Plant	EARTH	None	None	This ancient arbor uses its extensive knowledge to avoid the damage of enemy attacks.	
1622	Andro Sphinx	3000	2500	10	Beast	LIGHT	Effect	None	You can pay 500 Life Points to Special Summon this card when @5"Pyramid of Light"@7 is on the field. This card cannot attack during the turn that it is Normal Summoned or Special Summoned. This card cannot be Special Summoned from the Graveyard. If this card destroys a Defense Position monster as a result of battle, inflict damage to your opponent's Life Points equal to half of the ATK of the destroyed monster.	
2043	Anteatereatingant	2000	500	5	Insect	EARTH	Effect	None	This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 2 Spell or Trap Cards on your side of the field to the Graveyard. This card can destroy 1 Spell or Trap Card on your opponent's side of the field, but it cannot attack this turn if you activate this effect.	
472	Anthrosaurus	1000	850	3	Dinosaur	EARTH	None	None	Man-like dinosaur with a high I.Q. that is lacking in strength.	
1466	Anti-Aircraft Flower	0	1600	3	Plant	EARTH	Effect	None	By tributing 1 Insect-Type monster on your side of the field, inflict 800 points of damage to your opponent's Life Points.	
1300	Anti-Spell	0	0	0	Trap	Trap	Trap	Counter	Remove 2 Spell Counters on your side of the field. Negate the activation of a Spell Card and destroy it.	
805	Anti-Spell Fragrance	0	0	0	Trap	Trap	Trap	Continuous	As long as this card remains face-up on the field, both players must first Set Spell Cards when they use them and cannot activate them until their next turn.	
1271	Apprentice Magician	400	800	2	Spellcaster	DARK	Effect	None	When this card is successfully Normal Summoned, Flip Summoned, or Special Summoned, put 1 Spell Counter on a face-up card on the field that you can put a Spell Counter on. If this card is destroyed in battle, you can select 1 Level 2 or lower Spellcaster-Type monster from your Deck and Special Summon it to the field in face-down Defense Position.	
756	Appropriate	0	0	0	Trap	Trap	Trap	Continuous	You can activate this card when your opponent draws a card outside of his/her Draw Phase. Draw 2 cards from your Deck.	
803	Aqua Chorus	0	0	0	Trap	Trap	Trap	Continuous	If there are monsters with the same name on the field, increase the ATK and DEF of all of those monsters with the same name by 500 points.	
201	Aqua Madoor	1200	2000	4	Spellcaster	WATER	None	None	A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.	
377	Aqua Snake	1050	900	3	Aqua	WATER	None	None	This monster hypnotizes an opponent with the ball on its tail and drags them to a watery doom.	
963	Aqua Spirit	1600	1200	4	Aqua	WATER	Effect	None	This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing 1 WATER monster in your Graveyard from play. During each of your opponent's Standby Phases, you can change the battle position of 1 of your opponent's face-up Monster Cards. Once changed, the monster must remain in this position for the rest of the turn.	
1534	Arcane Archer of the Forest	900	1400	3	Warrior	EARTH	Effect	None	While there is a Plant-Type monster on your side of the field, this card cannot be attacked. By tributing 1 Plant-Type monster on your side of the field, destroy 1 Spell or Trap Card on the field.	
191	Archfiend Marmot of Nefariousness	400	600	2	Beast	EARTH	None	None	An air marmot that has a nefarious horn and wings. It attacks by throwing acorns.	
853	Archfiend of Gilfer	2200	2500	6	Fiend	DARK	Effect	None	When this card is sent to the Graveyard, you can activate its effect. You can then equip it to a monster on the field, and this card will be treated as an Equip Spell Card that decreases the ATK of the equipped monster by 500 points.	
1359	Archfiend Soldier	1900	1500	4	Fiend	DARK	None	None	An expert at battle who belongs to a crack diabolical unit. He's famous because he always gets the job done.	
1391	Archfiend's Roar	0	0	0	Trap	Trap	Trap	None	Pay 500 Life Points to activate this card. Special Summon 1 Archfiend Monster Card from your Graveyard. This monster cannot be Tributed under any conditions and is destroyed during the End Phase of this turn.	
1539	Archlord Zerato	2800	2300	8	Fairy	LIGHT	Effect	None	This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 face-up @5"Warrior of Zera"@7 on your side of the field while @5"The Sanctuary in the Sky"@7 is on the field. If @5"The Sanctuary in the Sky"@7 is on your side of the field, by discarding 1 LIGHT Monster Card from your hand to the Graveyard, destroy all monsters on your opponent's side of the field. If @5"The Sanctuary in the Sky"@7 is not on your side of the field, this effect is not applied.	
171	Arlownay	800	1000	3	Plant	EARTH	None	None	A lady monster dwelling in a flower, she sprinkles the air with poisonous pollen.	
186	Arma Knight	1000	1200	4	Aqua	WATER	None	None	An ammonite warrior that has protected the seas throughout history.	
164	Armaill	700	1300	3	Warrior	EARTH	None	None	A strange warrior who manipulates three deadly blades with both hands and his tail.	
1993	Armed Changer	0	0	0	Spell	Spell	Spell	Equip	Send 1 Equip Spell Card from your hand to the Graveyard to activate this card. If the equipped monster destroys a monster as a result of battle, the controller of this Equip Card can add 1 monster with ATK equal to or less than the equipped monster from their Graveyard to their hand.	
2005	Armed Dragon LV10	3000	2000	10	Dragon	WIND	Effect	None	This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 @5"Armed Dragon LV7"@7 on your side of the field. By sending 1 card from your hand to the Graveyard, destroy all face-up monsters on your opponent's side of the field.	
1639	Armed Dragon LV3	1200	900	3	Dragon	WIND	Effect	None	During your Standby Phase, by sending this face-up card to the Graveyard, Special Summon 1 @5"Armed Dragon LV5"@7 from your hand or Deck.	
1640	Armed Dragon LV5	2400	1700	5	Dragon	WIND	Effect	None	By sending 1 Monster Card from your hand to the Graveyard, destroy 1 face-up monster on your opponent's side of the field with an ATK equal to or less than the ATK of the sent monster. During the End Phase of a turn that this card destroyed a monster as a result of battle, by sending this card to the Graveyard, Special Summon 1 @5"Armed Dragon LV7"@7 from your hand or Deck.	
1641	Armed Dragon LV7	2800	1000	7	Dragon	WIND	Effect	None	This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of @5"Armed Dragon LV5"@7. By sending 1 Monster Card from your hand to the Graveyard, destroy all face-up monsters on your opponent's side of the field with ATK equal to or less than the ATK of the sent monster.	
